,Date,Visitor,G,Home,G.1,Unnamed: 5,Att.,LOG,Notes
0,2022-10-07,San Jose Sharks,1,Nashville Predators,4,,16648,2:43,"at (Prague, CZ)"
1,2022-10-08,Nashville Predators,3,San Jose Sharks,2,,17023,2:33,"at (Prague, CZ)"
2,2022-10-11,Vegas Golden Knights,4,Los Angeles Kings,3,,18230,2:31,
3,2022-10-11,Tampa Bay Lightning,1,New York Rangers,3,,18006,2:21,
4,2022-10-12,Seattle Kraken,4,Anaheim Ducks,5,OT,17530,2:28,
5,2022-10-12,Columbus Blue Jackets,1,Carolina Hurricanes,4,,18824,2:37,
6,2022-10-12,Chicago Blackhawks,2,Colorado Avalanche,5,,18143,2:19,
7,2022-10-12,Vancouver Canucks,3,Edmonton Oilers,5,,18347,2:41,
8,2022-10-12,Toronto Maple Leafs,3,Montreal Canadiens,4,,21105,2:30,
9,2022-10-12,Boston Bruins,5,Washington Capitals,2,,18573,2:28,
10,2022-10-13,Ottawa Senators,1,Buffalo Sabres,4,,15364,2:21,
11,2022-10-13,Colorado Avalanche,3,Calgary Flames,5,,19289,2:35,
12,2022-10-13,Seattle Kraken,4,Los Angeles Kings,1,,15645,2:28,
13,2022-10-13,New York Rangers,7,Minnesota Wild,3,,18612,2:31,
14,2022-10-13,Dallas Stars,4,Nashville Predators,1,,17692,2:26,
15,2022-10-13,Florida Panthers,3,New York Islanders,1,,17255,2:36,
16,2022-10-13,New Jersey Devils,2,Philadelphia Flyers,5,,19107,2:34,
17,2022-10-13,Arizona Coyotes,2,Pittsburgh Penguins,6,,18355,2:34,
18,2022-10-13,Washington Capitals,2,Toronto Maple Leafs,3,,18914,2:31,
19,2022-10-13,Chicago Blackhawks,0,Vegas Golden Knights,1,,18467,2:27,
20,2022-10-14,Tampa Bay Lightning,5,Columbus Blue Jackets,2,,18889,2:25,
21,2022-10-14,Montreal Canadiens,0,Detroit Red Wings,3,,19515,2:30,
22,2022-10-14,Carolina Hurricanes,2,San Jose Sharks,1,,17562,2:27,
23,2022-10-14,New York Rangers,1,Winnipeg Jets,4,,14553,2:26,
24,2022-10-15,Arizona Coyotes,3,Boston Bruins,6,,17850,2:33,
25,2022-10-15,Florida Panthers,4,Buffalo Sabres,3,,11481,2:30,
26,2022-10-15,Nashville Predators,1,Dallas Stars,5,,18532,2:30,
27,2022-10-15,Calgary Flames,4,Edmonton Oilers,3,,18347,2:35,
28,2022-10-15,Los Angeles Kings,7,Minnesota Wild,6,,18421,2:44,
29,2022-10-15,Detroit Red Wings,5,New Jersey Devils,2,,16514,2:25,
30,2022-10-15,Anaheim Ducks,1,New York Islanders,7,,16487,2:32,
31,2022-10-15,Vancouver Canucks,2,Philadelphia Flyers,3,,14837,2:27,
32,2022-10-15,Tampa Bay Lightning,2,Pittsburgh Penguins,6,,18416,2:25,
33,2022-10-15,Vegas Golden Knights,5,Seattle Kraken,2,,17151,2:32,
34,2022-10-15,Chicago Blackhawks,5,San Jose Sharks,2,,15219,2:22,
35,2022-10-15,Columbus Blue Jackets,2,St. Louis Blues,5,,18096,2:19,
36,2022-10-15,Ottawa Senators,2,Toronto Maple Leafs,3,,18709,2:28,
37,2022-10-15,Montreal Canadiens,1,Washington Capitals,3,,18573,2:29,
38,2022-10-17,Florida Panthers,3,Boston Bruins,5,,17850,2:32,
39,2022-10-17,Winnipeg Jets,1,Dallas Stars,4,,17875,2:22,
40,2022-10-17,Los Angeles Kings,5,Detroit Red Wings,4,OT,15919,2:35,
41,2022-10-17,Colorado Avalanche,6,Minnesota Wild,3,,17437,2:36,
42,2022-10-17,Pittsburgh Penguins,2,Montreal Canadiens,3,OT,21105,2:32,
43,2022-10-17,Anaheim Ducks,4,New York Rangers,6,,18006,2:29,
44,2022-10-17,Carolina Hurricanes,5,Seattle Kraken,1,,17151,2:30,
45,2022-10-17,Arizona Coyotes,4,Toronto Maple Leafs,2,,18346,2:28,
46,2022-10-17,Vancouver Canucks,4,Washington Capitals,6,,18573,2:32,
47,2022-10-18,Vancouver Canucks,3,Columbus Blue Jackets,4,OT,14060,2:30,
48,2022-10-18,Vegas Golden Knights,2,Calgary Flames,3,,16944,2:34,
49,2022-10-18,Buffalo Sabres,4,Edmonton Oilers,2,,16121,2:35,
50,2022-10-18,Anaheim Ducks,2,New Jersey Devils,4,,10130,2:29,
51,2022-10-18,Los Angeles Kings,4,Nashville Predators,3,SO,17159,2:35,
52,2022-10-18,San Jose Sharks,2,New York Islanders,5,,13892,2:31,
53,2022-10-18,Boston Bruins,5,Ottawa Senators,7,,19811,2:41,
54,2022-10-18,Philadelphia Flyers,3,Tampa Bay Lightning,2,,19092,2:31,
55,2022-10-19,Winnipeg Jets,4,Colorado Avalanche,3,OT,18062,2:26,
56,2022-10-19,Philadelphia Flyers,3,Florida Panthers,4,,17421,2:38,
57,2022-10-19,St. Louis Blues,4,Seattle Kraken,3,OT,17151,2:27,
58,2022-10-20,Anaheim Ducks,1,Boston Bruins,2,SO,17850,2:48,
59,2022-10-20,Nashville Predators,3,Columbus Blue Jackets,5,,14691,2:37,
60,2022-10-20,Buffalo Sabres,6,Calgary Flames,3,,17080,2:28,
61,2022-10-20,Carolina Hurricanes,4,Edmonton Oilers,6,,16023,2:38,
62,2022-10-20,Vancouver Canucks,3,Minnesota Wild,4,OT,17323,2:29,
63,2022-10-20,Arizona Coyotes,2,Montreal Canadiens,6,,20691,2:28,
64,2022-10-20,New Jersey Devils,4,New York Islanders,1,,16046,2:22,
65,2022-10-20,San Jose Sharks,3,New York Rangers,2,OT,17083,2:27,
66,2022-10-20,Washington Capitals,2,Ottawa Senators,5,,14210,2:28,
67,2022-10-20,Los Angeles Kings,1,Pittsburgh Penguins,6,,17136,2:27,
68,2022-10-20,Dallas Stars,2,Toronto Maple Leafs,3,OT,18488,2:50,
69,2022-10-20,Winnipeg Jets,2,Vegas Golden Knights,5,,17777,2:19,
70,2022-10-21,Detroit Red Wings,3,Chicago Blackhawks,4,OT,18753,2:31,
71,2022-10-21,Seattle Kraken,3,Colorado Avalanche,2,,18131,2:26,
72,2022-10-21,Tampa Bay Lightning,3,Florida Panthers,2,OT,17531,2:44,
73,2022-10-22,Minnesota Wild,3,Boston Bruins,4,OT,17850,2:42,
74,2022-10-22,Pittsburgh Penguins,6,Columbus Blue Jackets,3,,18051,2:35,
75,2022-10-22,Carolina Hurricanes,2,Calgary Flames,3,OT,17210,2:27,
76,2022-10-22,St. Louis Blues,2,Edmonton Oilers,0,,17102,2:12,
77,2022-10-22,Dallas Stars,5,Montreal Canadiens,2,,21105,2:26,
78,2022-10-22,San Jose Sharks,1,New Jersey Devils,2,,11037,2:31,
79,2022-10-22,Philadelphia Flyers,3,Nashville Predators,1,,17470,2:34,
80,2022-10-22,Arizona Coyotes,2,Ottawa Senators,6,,15107,2:29,
81,2022-10-22,New York Islanders,3,Tampa Bay Lightning,5,,19092,2:29,
82,2022-10-22,Buffalo Sabres,5,Vancouver Canucks,1,,18809,2:26,
83,2022-10-22,Colorado Avalanche,3,Vegas Golden Knights,2,,18207,2:29,
84,2022-10-22,Toronto Maple Leafs,4,Winnipeg Jets,1,,15325,2:23,
85,2022-10-22,Los Angeles Kings,3,Washington Capitals,4,,18573,2:26,
86,2022-10-23,Seattle Kraken,4,Chicago Blackhawks,5,,14892,2:26,
87,2022-10-23,Anaheim Ducks,1,Detroit Red Wings,5,,17932,2:33,
88,2022-10-23,New York Islanders,2,Florida Panthers,3,,16342,2:26,
89,2022-10-23,Columbus Blue Jackets,5,New York Rangers,1,,18006,2:23,
90,2022-10-23,San Jose Sharks,3,Philadelphia Flyers,0,,14512,2:29,
91,2022-10-24,Pittsburgh Penguins,3,Edmonton Oilers,6,,17392,2:27,
92,2022-10-24,Washington Capitals,6,New Jersey Devils,3,,11405,2:31,
93,2022-10-24,Dallas Stars,2,Ottawa Senators,4,,12088,2:29,
94,2022-10-24,Carolina Hurricanes,3,Vancouver Canucks,2,,18775,2:34,
95,2022-10-24,Toronto Maple Leafs,1,Vegas Golden Knights,3,,17989,2:35,
96,2022-10-24,St. Louis Blues,0,Winnipeg Jets,4,,13936,2:18,
97,2022-10-25,Dallas Stars,1,Boston Bruins,3,,17850,2:27,
98,2022-10-25,Arizona Coyotes,6,Columbus Blue Jackets,3,,14498,2:33,
99,2022-10-25,Pittsburgh Penguins,1,Calgary Flames,4,,17628,2:28,
100,2022-10-25,Florida Panthers,2,Chicago Blackhawks,4,,12859,2:28,
101,2022-10-25,New Jersey Devils,6,Detroit Red Wings,2,,16546,2:27,
102,2022-10-25,Tampa Bay Lightning,2,Los Angeles Kings,4,,16480,2:26,
103,2022-10-25,Minnesota Wild,3,Montreal Canadiens,1,,20867,2:24,
104,2022-10-25,Colorado Avalanche,3,New York Rangers,2,SO,18006,2:47,
105,2022-10-25,Buffalo Sabres,1,Seattle Kraken,5,,17151,2:21,
106,2022-10-25,Vegas Golden Knights,4,San Jose Sharks,2,,12003,2:26,
107,2022-10-26,Tampa Bay Lightning,4,Anaheim Ducks,2,,14889,2:31,
108,2022-10-26,New York Rangers,0,New York Islanders,3,,17255,2:25,
109,2022-10-26,Edmonton Oilers,3,St. Louis Blues,1,,18096,2:24,
110,2022-10-27,Detroit Red Wings,1,Boston Bruins,5,,17850,2:31,
111,2022-10-27,Montreal Canadiens,3,Buffalo Sabres,2,,12735,2:21,
112,2022-10-27,Edmonton Oilers,6,Chicago Blackhawks,5,,13685,2:38,
113,2022-10-27,Washington Capitals,0,Dallas Stars,2,,18235,2:25,
114,2022-10-27,Winnipeg Jets,6,Los Angeles Kings,4,,15716,2:25,
115,2022-10-27,St. Louis Blues,2,Nashville Predators,6,,17159,2:19,
116,2022-10-27,Minnesota Wild,4,Ottawa Senators,2,,13870,2:35,
117,2022-10-27,Florida Panthers,3,Philadelphia Flyers,4,,14871,2:37,
118,2022-10-27,Vancouver Canucks,5,Seattle Kraken,4,,17151,2:31,
119,2022-10-27,Toronto Maple Leafs,3,San Jose Sharks,4,OT,12507,2:21,
120,2022-10-28,Winnipeg Jets,3,Arizona Coyotes,2,OT,4600,2:27,
121,2022-10-28,New York Islanders,6,Carolina Hurricanes,2,,18680,2:29,
122,2022-10-28,Boston Bruins,4,Columbus Blue Jackets,0,,16162,2:19,
123,2022-10-28,Colorado Avalanche,0,New Jersey Devils,1,,12502,2:21,
124,2022-10-28,Pittsburgh Penguins,1,Vancouver Canucks,5,,18528,2:26,
125,2022-10-28,Anaheim Ducks,0,Vegas Golden Knights,4,,18036,2:32,
126,2022-10-29,Chicago Blackhawks,3,Buffalo Sabres,4,OT,14547,2:31,
127,2022-10-29,Edmonton Oilers,3,Calgary Flames,2,,19289,2:30,
128,2022-10-29,New York Rangers,6,Dallas Stars,3,,18532,2:28,
129,2022-10-29,Minnesota Wild,1,Detroit Red Wings,2,,17364,2:15,
130,2022-10-29,Ottawa Senators,3,Florida Panthers,5,,15577,2:38,
131,2022-10-29,Toronto Maple Leafs,2,Los Angeles Kings,4,,17530,2:28,
132,2022-10-29,Washington Capitals,3,Nashville Predators,0,,17159,2:32,
133,2022-10-29,Colorado Avalanche,4,New York Islanders,5,,17255,2:30,
134,2022-10-29,Carolina Hurricanes,4,Philadelphia Flyers,3,OT,13335,2:40,
135,2022-10-29,Pittsburgh Penguins,1,Seattle Kraken,3,,17151,2:33,
136,2022-10-29,Tampa Bay Lightning,4,San Jose Sharks,3,,15122,2:17,
137,2022-10-29,Montreal Canadiens,7,St. Louis Blues,4,,18096,2:27,
138,2022-10-30,Toronto Maple Leafs,3,Anaheim Ducks,4,OT,16084,2:35,
139,2022-10-30,New York Rangers,3,Arizona Coyotes,2,,4600,2:24,
140,2022-10-30,Minnesota Wild,4,Chicago Blackhawks,3,SO,14149,2:43,
141,2022-10-30,Columbus Blue Jackets,1,New Jersey Devils,7,,11547,2:28,
142,2022-10-30,Winnipeg Jets,1,Vegas Golden Knights,2,OT,17824,2:31,
143,2022-10-31,Detroit Red Wings,3,Buffalo Sabres,8,,9673,2:27,
144,2022-10-31,Washington Capitals,2,Carolina Hurricanes,3,SO,16211,2:41,
145,2022-10-31,Los Angeles Kings,5,St. Louis Blues,1,,17220,2:23,
146,2022-11-01,Florida Panthers,1,Arizona Coyotes,3,,4600,2:30,
147,2022-11-01,Seattle Kraken,5,Calgary Flames,4,,16803,2:33,
148,2022-11-01,New York Islanders,3,Chicago Blackhawks,1,,12523,2:25,
149,2022-11-01,Los Angeles Kings,2,Dallas Stars,5,,18374,2:28,
150,2022-11-01,Nashville Predators,4,Edmonton Oilers,7,,16812,2:37,
151,2022-11-01,Montreal Canadiens,1,Minnesota Wild,4,,16385,2:26,
152,2022-11-01,Philadelphia Flyers,0,New York Rangers,1,OT,17206,2:29,
153,2022-11-01,Boston Bruins,6,Pittsburgh Penguins,5,OT,17629,2:43,
154,2022-11-01,Anaheim Ducks,6,San Jose Sharks,5,SO,10058,2:42,
155,2022-11-01,Ottawa Senators,3,Tampa Bay Lightning,4,,19092,2:33,
156,2022-11-01,New Jersey Devils,5,Vancouver Canucks,2,,18548,2:24,
157,2022-11-01,Vegas Golden Knights,3,Washington Capitals,2,OT,18573,2:34,
158,2022-11-02,Pittsburgh Penguins,3,Buffalo Sabres,6,,12201,2:28,
159,2022-11-02,Philadelphia Flyers,2,Toronto Maple Leafs,5,,18437,2:36,
160,2022-11-03,Dallas Stars,7,Arizona Coyotes,2,,4600,2:25,
161,2022-11-03,Nashville Predators,4,Calgary Flames,1,,16984,2:31,
162,2022-11-03,Los Angeles Kings,1,Chicago Blackhawks,2,OT,16658,2:30,
163,2022-11-03,Washington Capitals,1,Detroit Red Wings,3,,18527,2:25,
164,2022-11-03,New Jersey Devils,4,Edmonton Oilers,3,,17021,2:22,
165,2022-11-03,Seattle Kraken,4,Minnesota Wild,0,,17221,2:19,
166,2022-11-03,Boston Bruins,5,New York Rangers,2,,18006,2:21,
167,2022-11-03,Vegas Golden Knights,5,Ottawa Senators,4,,16043,2:34,
168,2022-11-03,Florida Panthers,4,San Jose Sharks,3,SO,10182,2:42,
169,2022-11-03,New York Islanders,5,St. Louis Blues,2,,18096,2:33,
170,2022-11-03,Carolina Hurricanes,4,Tampa Bay Lightning,3,SO,19092,3:01,
171,2022-11-03,Anaheim Ducks,5,Vancouver Canucks,8,,18760,2:34,
172,2022-11-03,Montreal Canadiens,2,Winnipeg Jets,3,OT,13729,2:27,
173,2022-11-04,Buffalo Sabres,3,Carolina Hurricanes,5,,18727,2:32,
174,2022-11-04,Columbus Blue Jackets,3,Colorado Avalanche,6,,12882,2:40,"at Nokia Arena (Tampere, FI)"
175,2022-11-05,Colorado Avalanche,5,Columbus Blue Jackets,1,,12897,2:27,"at Nokia Arena (Tampere, FI)"
176,2022-11-05,New Jersey Devils,4,Calgary Flames,3,OT,17386,2:38,
177,2022-11-05,New York Islanders,0,Detroit Red Wings,3,,19515,2:22,
178,2022-11-05,Dallas Stars,6,Edmonton Oilers,2,,17067,2:25,
179,2022-11-05,Florida Panthers,4,Los Angeles Kings,5,,16161,2:44,
180,2022-11-05,Vegas Golden Knights,6,Montreal Canadiens,4,,21105,2:27,
181,2022-11-05,Philadelphia Flyers,2,Ottawa Senators,1,,16722,2:29,
182,2022-11-05,Seattle Kraken,3,Pittsburgh Penguins,2,,18302,2:10,
183,2022-11-05,Anaheim Ducks,5,San Jose Sharks,4,SO,17562,2:47,
184,2022-11-05,Buffalo Sabres,3,Tampa Bay Lightning,5,,19092,2:35,
185,2022-11-05,Boston Bruins,1,Toronto Maple Leafs,2,,18926,2:14,
186,2022-11-05,Nashville Predators,4,Vancouver Canucks,3,SO,18855,2:46,
187,2022-11-05,Chicago Blackhawks,0,Winnipeg Jets,4,,13210,2:24,
188,2022-11-05,Arizona Coyotes,3,Washington Capitals,2,,18573,2:30,
189,2022-11-06,Florida Panthers,5,Anaheim Ducks,3,,15174,2:30,
190,2022-11-06,Toronto Maple Leafs,3,Carolina Hurricanes,1,,18463,2:23,
191,2022-11-06,Detroit Red Wings,3,New York Rangers,2,OT,18006,2:33,
192,2022-11-07,St. Louis Blues,1,Boston Bruins,3,,17850,2:25,
193,2022-11-07,Calgary Flames,3,New York Islanders,4,OT,15722,2:33,
194,2022-11-07,Edmonton Oilers,4,Washington Capitals,5,,18573,2:34,
195,2022-11-08,Arizona Coyotes,4,Buffalo Sabres,1,,10296,2:47,
196,2022-11-08,Montreal Canadiens,3,Detroit Red Wings,2,SO,17033,2:38,
197,2022-11-08,Minnesota Wild,0,Los Angeles Kings,1,,13558,2:23,
198,2022-11-08,Calgary Flames,2,New Jersey Devils,3,,13096,2:32,
199,2022-11-08,New York Islanders,4,New York Rangers,3,,18006,2:31,
200,2022-11-08,Vancouver Canucks,6,Ottawa Senators,4,,13351,2:22,
201,2022-11-08,St. Louis Blues,1,Philadelphia Flyers,5,,15228,2:25,
202,2022-11-08,Nashville Predators,1,Seattle Kraken,5,,17151,2:18,
203,2022-11-08,Edmonton Oilers,3,Tampa Bay Lightning,2,,19092,2:40,
204,2022-11-08,Vegas Golden Knights,4,Toronto Maple Leafs,3,OT,18459,2:22,
205,2022-11-08,Dallas Stars,1,Winnipeg Jets,5,,13847,2:19,
206,2022-11-09,Minnesota Wild,4,Anaheim Ducks,1,,14803,2:30,
207,2022-11-09,Carolina Hurricanes,0,Florida Panthers,3,,13225,2:25,
208,2022-11-09,Vancouver Canucks,2,Montreal Canadiens,5,,21105,2:24,
209,2022-11-09,Pittsburgh Penguins,4,Washington Capitals,1,,18573,2:25,
210,2022-11-10,Calgary Flames,1,Boston Bruins,3,,17850,2:28,
211,2022-11-10,Vegas Golden Knights,7,Buffalo Sabres,4,,15757,2:37,
212,2022-11-10,Edmonton Oilers,2,Carolina Hurricanes,7,,18118,2:22,
213,2022-11-10,Philadelphia Flyers,2,Columbus Blue Jackets,5,,15490,2:37,
214,2022-11-10,Nashville Predators,3,Colorado Avalanche,5,,18134,2:34,
215,2022-11-10,New York Rangers,8,Detroit Red Wings,2,,18869,2:20,
216,2022-11-10,Chicago Blackhawks,1,Los Angeles Kings,2,OT,16443,2:33,
217,2022-11-10,Ottawa Senators,3,New Jersey Devils,4,OT,13806,2:35,
218,2022-11-10,Arizona Coyotes,2,New York Islanders,0,,17255,2:28,
219,2022-11-10,San Jose Sharks,3,St. Louis Blues,5,,18096,2:24,
220,2022-11-11,San Jose Sharks,5,Dallas Stars,4,,18532,2:31,
221,2022-11-11,Minnesota Wild,1,Seattle Kraken,0,,17151,2:22,
222,2022-11-11,Pittsburgh Penguins,4,Toronto Maple Leafs,2,,19229,2:19,
223,2022-11-11,Tampa Bay Lightning,1,Washington Capitals,5,,18573,2:29,
224,2022-11-12,Chicago Blackhawks,3,Anaheim Ducks,2,,15184,2:32,
225,2022-11-12,Boston Bruins,3,Buffalo Sabres,1,,19070,2:28,
226,2022-11-12,Winnipeg Jets,2,Calgary Flames,3,,18501,2:33,
227,2022-11-12,Carolina Hurricanes,1,Colorado Avalanche,4,,18127,2:21,
228,2022-11-12,Edmonton Oilers,4,Florida Panthers,2,,16579,2:24,
229,2022-11-12,Detroit Red Wings,3,Los Angeles Kings,4,,18230,2:26,
230,2022-11-12,Pittsburgh Penguins,4,Montreal Canadiens,5,OT,21105,2:35,
231,2022-11-12,Arizona Coyotes,2,New Jersey Devils,4,,16514,2:30,
232,2022-11-12,New York Rangers,1,Nashville Predators,2,,17169,2:25,
233,2022-11-12,Columbus Blue Jackets,3,New York Islanders,4,OT,17255,2:26,
234,2022-11-12,Ottawa Senators,4,Philadelphia Flyers,1,,16912,2:28,
235,2022-11-12,Vancouver Canucks,2,Toronto Maple Leafs,3,,19497,2:18,
236,2022-11-12,St. Louis Blues,3,Vegas Golden Knights,2,,18343,2:28,
237,2022-11-13,Vancouver Canucks,2,Boston Bruins,5,,17850,2:30,
238,2022-11-13,San Jose Sharks,3,Minnesota Wild,2,SO,17105,2:34,
239,2022-11-13,Arizona Coyotes,1,New York Rangers,4,,18006,2:25,
240,2022-11-13,Dallas Stars,5,Philadelphia Flyers,1,,16898,2:24,
241,2022-11-13,Winnipeg Jets,3,Seattle Kraken,2,OT,17151,2:28,
242,2022-11-13,Washington Capitals,3,Tampa Bay Lightning,6,,19092,2:41,
243,2022-11-14,Los Angeles Kings,5,Calgary Flames,6,,17308,2:32,
244,2022-11-14,Carolina Hurricanes,3,Chicago Blackhawks,0,,15676,2:23,
245,2022-11-14,St. Louis Blues,3,Colorado Avalanche,2,,18104,2:30,
246,2022-11-14,New York Islanders,4,Ottawa Senators,2,,13408,2:28,
247,2022-11-15,Detroit Red Wings,2,Anaheim Ducks,3,OT,15198,2:34,
248,2022-11-15,Vancouver Canucks,5,Buffalo Sabres,4,,11130,2:27,
249,2022-11-15,Philadelphia Flyers,4,Columbus Blue Jackets,5,OT,15713,2:34,
250,2022-11-15,Washington Capitals,2,Florida Panthers,5,,13813,2:29,
251,2022-11-15,New Jersey Devils,5,Montreal Canadiens,1,,20753,2:32,
252,2022-11-15,Minnesota Wild,1,Nashville Predators,2,,17159,2:32,
253,2022-11-15,Toronto Maple Leafs,5,Pittsburgh Penguins,2,,17035,2:21,
254,2022-11-15,Dallas Stars,4,Tampa Bay Lightning,5,OT,19092,2:49,
255,2022-11-15,San Jose Sharks,5,Vegas Golden Knights,2,,17899,2:25,
256,2022-11-16,St. Louis Blues,5,Chicago Blackhawks,2,,16284,2:18,
257,2022-11-16,Los Angeles Kings,3,Edmonton Oilers,1,,16943,2:28,
258,2022-11-16,Buffalo Sabres,1,Ottawa Senators,4,,13558,2:32,
259,2022-11-17,Philadelphia Flyers,1,Boston Bruins,4,,17850,2:30,
260,2022-11-17,Colorado Avalanche,3,Carolina Hurricanes,2,OT,18680,2:33,
261,2022-11-17,Montreal Canadiens,4,Columbus Blue Jackets,6,,14914,2:36,
262,2022-11-17,Dallas Stars,6,Florida Panthers,4,,14428,2:38,
263,2022-11-17,Pittsburgh Penguins,6,Minnesota Wild,4,,18224,2:28,
264,2022-11-17,New York Islanders,4,Nashville Predators,5,,17159,2:25,
265,2022-11-17,New York Rangers,2,Seattle Kraken,3,OT,17151,2:28,
266,2022-11-17,Detroit Red Wings,7,San Jose Sharks,4,,14134,2:19,
267,2022-11-17,Washington Capitals,4,St. Louis Blues,5,SO,18096,2:50,
268,2022-11-17,Calgary Flames,1,Tampa Bay Lightning,4,,19092,2:38,
269,2022-11-17,New Jersey Devils,3,Toronto Maple Leafs,2,OT,18189,2:22,
270,2022-11-17,Arizona Coyotes,1,Vegas Golden Knights,4,,17708,2:27,
271,2022-11-17,Anaheim Ducks,2,Winnipeg Jets,3,,14278,2:24,
272,2022-11-18,Los Angeles Kings,1,Vancouver Canucks,4,,18841,2:24,
273,2022-11-19,Chicago Blackhawks,1,Boston Bruins,6,,17850,2:21,
274,2022-11-19,Detroit Red Wings,6,Columbus Blue Jackets,1,,18693,2:25,
275,2022-11-19,New York Islanders,2,Dallas Stars,5,,18532,2:25,
276,2022-11-19,Vegas Golden Knights,3,Edmonton Oilers,4,OT,18347,2:20,
277,2022-11-19,Calgary Flames,5,Florida Panthers,4,SO,15842,2:48,
278,2022-11-19,Carolina Hurricanes,1,Minnesota Wild,2,OT,18278,2:31,
279,2022-11-19,Philadelphia Flyers,4,Montreal Canadiens,5,SO,21105,2:41,
280,2022-11-19,Tampa Bay Lightning,3,Nashville Predators,2,OT,17444,2:32,
281,2022-11-19,New Jersey Devils,5,Ottawa Senators,1,,18881,2:33,
282,2022-11-19,Los Angeles Kings,2,Seattle Kraken,3,OT,17151,2:21,
283,2022-11-19,New York Rangers,2,San Jose Sharks,1,,17562,2:28,
284,2022-11-19,Anaheim Ducks,2,St. Louis Blues,6,,18096,2:27,
285,2022-11-19,Buffalo Sabres,2,Toronto Maple Leafs,5,,18645,2:26,
286,2022-11-19,Pittsburgh Penguins,3,Winnipeg Jets,0,,15325,2:26,
287,2022-11-19,Colorado Avalanche,4,Washington Capitals,0,,18573,2:26,
288,2022-11-20,Florida Panthers,3,Columbus Blue Jackets,5,,15643,2:30,
289,2022-11-20,Pittsburgh Penguins,5,Chicago Blackhawks,3,,21182,2:30,
290,2022-11-21,Colorado Avalanche,3,Dallas Stars,2,SO,18532,2:44,
291,2022-11-21,Edmonton Oilers,2,New Jersey Devils,5,,16514,2:23,
292,2022-11-21,Arizona Coyotes,3,Nashville Predators,4,SO,17159,2:46,
293,2022-11-21,Calgary Flames,5,Philadelphia Flyers,2,,17896,2:21,
294,2022-11-21,Ottawa Senators,1,San Jose Sharks,5,,11295,2:26,
295,2022-11-21,Anaheim Ducks,1,St. Louis Blues,3,,18096,2:21,
296,2022-11-21,Boston Bruins,5,Tampa Bay Lightning,3,,19092,2:29,
297,2022-11-21,New York Islanders,3,Toronto Maple Leafs,2,OT,18494,2:32,
298,2022-11-21,Vegas Golden Knights,5,Vancouver Canucks,4,,18558,2:37,
299,2022-11-21,Carolina Hurricanes,3,Winnipeg Jets,4,OT,13346,2:19,
300,2022-11-22,New York Rangers,5,Los Angeles Kings,3,,18230,2:27,
301,2022-11-22,Buffalo Sabres,7,Montreal Canadiens,2,,20984,2:26,
302,2022-11-23,New York Rangers,2,Anaheim Ducks,3,,13759,2:21,
303,2022-11-23,St. Louis Blues,2,Buffalo Sabres,6,,17302,2:20,
304,2022-11-23,Arizona Coyotes,4,Carolina Hurricanes,0,,18775,2:27,
305,2022-11-23,Montreal Canadiens,3,Columbus Blue Jackets,1,,14197,2:32,
306,2022-11-23,Vancouver Canucks,4,Colorado Avalanche,3,,18132,2:38,
307,2022-11-23,Chicago Blackhawks,4,Dallas Stars,6,,18532,2:29,
308,2022-11-23,Nashville Predators,0,Detroit Red Wings,3,,19515,2:19,
309,2022-11-23,Boston Bruins,2,Florida Panthers,5,,17511,2:37,
310,2022-11-23,Winnipeg Jets,1,Minnesota Wild,6,,17450,2:33,
311,2022-11-23,Toronto Maple Leafs,2,New Jersey Devils,1,,16514,2:42,
312,2022-11-23,Edmonton Oilers,0,New York Islanders,3,,17255,2:34,
313,2022-11-23,Calgary Flames,1,Pittsburgh Penguins,2,SO,18149,2:37,
314,2022-11-23,San Jose Sharks,5,Seattle Kraken,8,,17151,2:25,
315,2022-11-23,Ottawa Senators,1,Vegas Golden Knights,4,,17955,2:34,
316,2022-11-23,Philadelphia Flyers,2,Washington Capitals,3,OT,18573,2:33,
317,2022-11-25,Ottawa Senators,5,Anaheim Ducks,1,,14278,2:36,
318,2022-11-25,Carolina Hurricanes,2,Boston Bruins,3,OT,17850,2:48,
319,2022-11-25,New Jersey Devils,3,Buffalo Sabres,1,,16727,2:32,
320,2022-11-25,New York Islanders,3,Columbus Blue Jackets,2,,17286,2:29,
321,2022-11-25,Montreal Canadiens,3,Chicago Blackhawks,2,SO,16159,2:32,
322,2022-11-25,Winnipeg Jets,5,Dallas Stars,4,OT,18532,2:49,
323,2022-11-25,Arizona Coyotes,3,Detroit Red Wings,4,SO,19515,2:41,
324,2022-11-25,Toronto Maple Leafs,4,Minnesota Wild,3,,18997,2:28,
325,2022-11-25,Pittsburgh Penguins,4,Philadelphia Flyers,1,,19309,2:22,
326,2022-11-25,Los Angeles Kings,5,San Jose Sharks,2,,17562,2:29,
327,2022-11-25,St. Louis Blues,2,Tampa Bay Lightning,5,,19092,2:22,
328,2022-11-25,Seattle Kraken,4,Vegas Golden Knights,2,,18119,2:22,
329,2022-11-25,Calgary Flames,0,Washington Capitals,3,,18573,2:25,
330,2022-11-26,Calgary Flames,2,Carolina Hurricanes,3,,18845,2:29,
331,2022-11-26,Dallas Stars,1,Colorado Avalanche,4,,18129,2:40,
332,2022-11-26,St. Louis Blues,5,Florida Panthers,4,OT,15649,2:26,
